#Starting point: 2020-06-12
#spacing∈[2..12],enjoyment∈[-5..5],counterfactual experience∈[-5..5],type∈{n,t,a,i,v}
2020-06-18,2,-0.3,n
2020-06-24,,,n
2020-06-30,,,n
2020-07-06,,,n
2020-07-12,,,n
2020-07-18,,,n
2020-07-24,,,n
2020-07-30,,,n
2020-08-05,,,n
2020-08-11,,,n
2020-08-20,,,n
2020-08-29,,,n
2020-09-07,,,n
2020-09-16,,,n
2020-09-25,,,n
2020-10-04,,,n
2020-10-13,,,n
2020-10-22,,,n
2020-10-31,,,n
2020-11-09,,,n
2020-11-20,,,n
2020-12-01,,,n
2020-12-12,,,n
2020-12-23,,,n
2021-01-03,,,n
2021-01-14,,,n
2021-01-25,,,n
2021-02-05,,,n
2021-02-16,,,n
2021-02-27,,,n
2021-03-07,,,n
2021-03-15,,,n
2021-03-23,,,n
2021-03-31,,,n
2021-04-08,,,n
2021-04-16,,,n
2021-04-24,,,n
2021-05-02,,,n
2021-05-10,,,n
2021-05-18,,,n
2021-05-21,,,n
2021-05-24,,,n
2021-05-27,,,n
2021-05-30,,,n
2021-06-02,,,n
2021-06-05,,,n
2021-06-08,,,n
2021-06-11,,,n
2021-06-14,,,n
2021-06-17,,,n
2021-06-27,,,n
2021-07-07,,,n
2021-07-17,,,n
2021-07-27,,,n
2021-08-06,,,n
2021-08-16,,,n
2021-08-26,,,n
2021-09-05,,,n
2021-09-15,,,n
2021-09-25,,,n
2021-09-30,,,n
2021-10-05,,,n
2021-10-10,,,n
2021-10-15,,,n
2021-10-20,,,n
2021-10-25,,,n
2021-10-30,,,n
2021-11-04,,,n
2021-11-09,,,n
2021-11-14,,,n
2021-11-26,,,n
2021-12-08,,,n
2021-12-20,,,n
2022-01-01,,,n
2022-01-13,,,n
2022-01-25,,,n
2022-02-06,,,n
2022-02-18,,,n
2022-03-02,,,n
2022-03-14,,,n
2022-03-21,,,n
2022-03-28,,,n
2022-04-04,,,n
2022-04-11,,,n
2022-04-18,,,n
2022-04-25,,,n
2022-05-02,,,n
2022-05-09,,,n
2022-05-16,,,n
2022-05-23,,,n
2022-05-27,,,n
2022-05-31,,,n
2022-06-04,,,n
2022-06-08,,,n
2022-06-12,,,n
2022-06-16,,,n
2022-06-20,,,n
2022-06-24,,,n
2022-06-28,,,n
2022-07-02,,,n
2022-07-04,,,n
2022-07-06,,,n
2022-07-08,,,n
2022-07-10,,,n
2022-07-12,,,n
2022-07-14,,,n
2022-07-16,,,n
2022-07-18,,,n
2022-07-20,,,n
2022-07-22,,,n
2022-08-02,,,i
2022-08-13,,,i
2022-08-24,,,i
2022-09-04,,,i
2022-09-15,,,i
2022-09-26,,,i
2022-10-07,,,i
2022-10-18,,,i
2022-10-29,,,i
